"pid","week","group","subgroup","gender","intervention","last_intervention","bilateral_communication_count","quiz_count","booklet_count","arena_count","chat_count","forum_count","playground_count","bilateral_communication_active_days","quiz_active_days","booklet_active_days","arena_active_days","chat_active_days","forum_active_days","playground_active_days","active_days","event_count","bilat_count_bool","quiz_count_bool","booklet_count_bool","arena_count_bool","chat_count_bool","forum_count_bool","playground_count_bool","event_count_bool"
299,7,"B","f","f","None","personal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
279,6,"A","f","m","None","personal/unspecific",0,4,1,15,0,0,6,0,1,1,2,0,0,3,4,26,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
213,3,"A","m","m","None","personal/specific",0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
470,8,"A","m","f","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4,0,"C","m","m","None","None",0,0,1,0,0,0,2,0,0,1,0,0,0,2,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
40,3,"A","f","f","None","personal/specific",0,0,1,3,0,0,0,0,0,1,1,0,0,0,2,4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
469,4,"A","f","m","personal/unspecific","personal/unspecific",0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
187,0,"C","m","m","None","None",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
414,12,"A","f","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
354,8,"A","m","m","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
403,0,"B","f","f","None","None",0,0,1,0,0,0,2,0,0,1,0,0,0,1,1,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
152,11,"C","f","m","None","personal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
441,0,"B","m","f","None","None",0,0,1,0,0,0,2,0,0,1,0,0,0,2,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
99,9,"A","m","f","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
443,1,"B","f","m","None","None",0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
195,13,"B","f","f","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
398,8,"A","m","f","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
344,14,"A","m","f","None","impersonal/specific",0,23,0,34,0,0,14,0,4,0,4,0,0,4,5,71,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
45,7,"C","m","m","None","impersonal/specific",0,0,1,30,0,0,3,0,0,1,2,0,0,1,3,34,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
219,11,"B","f","f","impersonal/specific","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
140,11,"A","f","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
252,10,"B","f","f","None","impersonal/specific",0,0,1,15,0,0,0,0,0,1,1,0,0,0,2,16,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
299,6,"B","f","f","None","personal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
101,9,"A","f","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,0,"C","m","f","None","None",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
442,4,"A","m","f","personal/unspecific","personal/unspecific",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
220,2,"C","f","f","None","None",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
210,7,"A","m","m","impersonal/specific","impersonal/specific",0,0,1,3,0,0,4,0,0,1,2,0,0,1,3,8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
123,10,"C","f","m","None","personal/specific",0,2,1,10,0,0,5,0,1,1,2,0,0,3,5,18,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
